pdf_page,kind,id,filename,caption,description
31,Figure,Figure 1.1,Figure1.1_TheDifferentLevelsOfARCSClassificationFidelity.png,The different levels of ARCS classification fidelity,Figure illustrating the concept described in the caption.
32,Figure,Figure 1.2,Figure1.2_DescriptionOfAWeaponUsingARCS.png,Description of a weapon using ARCS,Figure illustrating the concept described in the caption.
33,Table,Table 1.1,Table1.1_CommonSmallArmsGroupsAndSubgroups.png,Common small arms groups and subgroups,Table presenting structured data or a comparison relevant to the caption.
34,Table,Table 1.2,Table1.2_CommonMunitionsGroupsAndSubgroups.png,Common munitions groups and subgroups (land),Table presenting structured data or a comparison relevant to the caption.
37,Box,Box 1.1,Box1.1_DevelopingArmsAndAmmunitionBaselineAssessments.png,Developing arms and ammunition baseline assessments,"Boxed sidebar containing focused explanatory text, definitions, or a case example described in the caption."
38,Box,Box 1.2,Box1.2_ArmsTracing.png,Arms tracing,"Boxed sidebar containing focused explanatory text, definitions, or a case example described in the caption."
39,Figure,Figure 1.3,Figure1.3_SelectedMarkingsOnAHecklerKochHK417.png,Selected markings on a Heckler & Koch HK417 self-loading rifle,Annotated photo/diagram showing selected markings described in the caption.
41,Table,Table 1.3,Table1.3_UsingThisHandbookToIdentifyArmsAndTrack.png,Using this Handbook to identify arms and track arms flows,Table presenting structured data or a comparison relevant to the caption.
48,Figure,Figure 2.1,Figure2.1_ExampleOfAnArmsTransferChain.png,Example of an arms transfer chain,Process diagram illustrating a transfer chain and/or diversion points.
49,Box,Box 2.1,Box2.1_InternationalEffortsToCurbIllicitArmsFlows.png,International efforts to curb illicit arms flows,"Boxed sidebar containing focused explanatory text, definitions, or a case example described in the caption."
50,Figure,Figure 2.2,Figure2.2_PointsOfPotentialDiversionInATypicalTransfer.png,Points of potential diversion in a typical transfer chain,Process diagram illustrating a transfer chain and/or diversion points.
52,Box,Box 2.2,Box2.2_DiversionOfArmsAndAmmunitionInPeaceOperations.png,Diversion of arms and ammunition in peace operations,"Boxed sidebar containing focused explanatory text, definitions, or a case example described in the caption."
54,Box,Box 2.3,Box2.3_FirearmsUsedInElephantAndRhinoPoachingIn.png,Firearms used in elephant and rhino poaching in Africa,"Boxed sidebar containing focused explanatory text, definitions, or a case example described in the caption."
63,Figure,Figure 3.1,Figure3.1_TypicalFeaturesOfAModernMilitaryRifle.png,Typical features of a modern military rifle,Figure illustrating the concept described in the caption.
64,Figure,Figure 3.2,Figure3.2_TypicalFeaturesOfAModernHandgun.png,Typical features of a modern handgun,Figure illustrating the concept described in the caption.
65,Figure,Figure 3.3,Figure3.3_TheBuildUpOfGasPressureBehindAProjectile.png,The build-up of gas pressure behind a projectile during the firing sequence of a firearm,Figure illustrating the concept described in the caption.
65,Figure,Figure 3.4,Figure3.4_RifledAndSmoothBoreBarrels.png,Rifled and smooth-bore barrels,Illustration comparing rifling types described in the caption.
65,Figure,Figure 3.5,Figure3.5_ConventionalGroovedRifling.png,Conventional grooved rifling (left) and octagonal polygonal rifling (right),Illustration comparing rifling types described in the caption.
68,Figure,Figure 3.6,Figure3.6_TypicalArrangementOfAModernSelfLoadingPistolShowing.png,"Typical arrangement of a modern self-loading pistol, showing some internal components",Diagram illustrating the arrangement/composition described in the caption.
68,Image,Image 3.1,Image3.1_ASovietBaikalPM918.png,A Soviet Baikal PM 9 × 18,Photograph/illustration of the item described in the caption.
68,Image,Image 3.2,Image3.2_ABelgianC.png,A Belgian C.F. Galand 12 ×,Photograph/illustration of the item described in the caption.
69,Image,Image 3.3,Image3.3_AnItalianBerettaModel12S919.png,An Italian Beretta Model 12S 9 × 19 mm SMG,Photograph/illustration of the item described in the caption.
70,Image,Image 3.4,Image3.4_AGermanHecklerKochMP74.png,A German Heckler & Koch MP7 4.6 × 30 mm SMG,Photograph/illustration of the item described in the caption.
71,Figure,Figure 3.7,Figure3.7_TypicalFeaturesOfABreakActionShotgun.png,Typical features of a break-action shotgun,Figure illustrating the concept described in the caption.
71,Figure,Figure 3.8,Figure3.8_TypicalFeaturesOfAPumpActionShotgun.png,Typical features of a pump-action shotgun,Figure illustrating the concept described in the caption.
72,Image,Image 3.5,Image3.5_AnAmericanRemingtonModel870Wingmaster12GaugePumpAction.png,An American Remington Model 870 Wingmaster 12-gauge pump-action,Photograph/illustration of the item described in the caption.
72,Image,Image 3.6,Image3.6_AnItalianBenelliM1Super9012GaugeSelfLoading.png,An Italian Benelli M1 Super 90 12-gauge self-loading shotgun,Photograph/illustration of the item described in the caption.
73,Image,Image 3.7,Image3.7_ATurkishConversionOfAFrenchBerthierModLe.png,A Turkish conversion of a French Berthier Modèle 1907-15 8 × 50R mm,Photograph/illustration of the item described in the caption.
73,Image,Image 3.8,Image3.8_ACanadianPGWDefenceTechnologiesTimberwolf.png,A Canadian PGW Defence Technologies Timberwolf .338 Lapua Magnum,Photograph/illustration of the item described in the caption.
74,Image,Image 3.9,Image3.9_AFrenchManufactureDarmesDeChTelleraultCarabineDe.png,A French Manufacture d’armes de Châtellerault Carabine de Cuirassier,Photograph/illustration of the item described in the caption.
75,Image,Image 3.10,Image3.10_AnImperialGermanMauserTankgewehr1813.png,An Imperial German Mauser Tankgewehr 18 13 × 92SR mm anti-tank rifle,Photograph/illustration of the item described in the caption.
75,Image,Image 3.11,Image3.11_AnAmericanBarrettM82A1.png,An American Barrett M82A1 .50 BMG (12.7 × 99 mm) anti-materiel rifle,Photograph/illustration of the item described in the caption.
76,Image,Image 3.12,Image3.12_ABritishImperialDefenceServicesMG4A55.png,A British Imperial Defence Services MG4A5 5.56 × 45 mm self-loading rifle,Photograph/illustration of the item described in the caption.
77,Box,Box 3.1,Box3.1_MythsAndMisconceptionsAK47.png,Myths and misconceptions: ‘AK-47’,"Boxed sidebar containing focused explanatory text, definitions, or a case example described in the caption."
78,Image,Image 3.13,Image3.13_AnEgyptianMaadiCompanyForEngineeringIndustriesMisr.png,An Egyptian Maadi Company for Engineering Industries Misr 7.62 × 39,Photograph/illustration of the item described in the caption.
79,Image,Image 3.14,Image3.14_ABelgianFNHerstalMinimiPara5.png,A Belgian FN Herstal Minimi Para 5.56 × 45 mm LMG,Photograph/illustration of the item described in the caption.
79,Image,Image 3.15,Image3.15_ABritishL86A25.png,A British L86A2 5.56 × 45 mm LMG,Photograph/illustration of the item described in the caption.
80,Image,Image 3.16,Image3.16_AHungarianCopyOfTheSovietPKM7.png,A Hungarian copy of the Soviet PKM 7.62 × 54R mm GPMG,Photograph/illustration of the item described in the caption.
81,Box,Box 3.2,Box3.2_MythsAndMisconceptionsAssaultWeapon.png,Myths and misconceptions: ‘assault weapon’,"Boxed sidebar containing focused explanatory text, definitions, or a case example described in the caption."
81,Image,Image 3.17,Image3.17_AUSMarineTestFiringAnAmericanNammoTalleyMK.png,A US Marine test-firing an American Nammo-Talley MK 153 Mod 2,Photograph/illustration of the item described in the caption.
82,Figure,Figure 3.9,Figure3.9_TypicalFeaturesOfAModernMilitaryRifle.png,Typical features of a modern military rifle,Figure illustrating the concept described in the caption.
83,Image,Image 3.18,Image3.18_AGermanMauserKar98KBoltActionRifle.png,A German Mauser Kar98K bolt-action rifle (top) and its component parts,Photograph/illustration of the item described in the caption.
84,Image,Image 3.19,Image3.19_ExamplesOfButtStocks.png,Examples of butt-stocks,Photograph/illustration of the item described in the caption.
85,Image,Image 3.20,Image3.20_ExamplesOfForeEnds.png,Examples of fore-ends,Photograph/illustration of the item described in the caption.
86,Image,Image 3.21,Image3.21_AUSMilitaryM4SelfLoadingRifleWithVarious.png,A US military M4 self-loading rifle with various upgrades,Photograph/illustration of the item described in the caption.
87,Image,Image 3.22,Image3.22_BarrelsOfDifferentLengthsOnIsraeliIMIGalil.png,Barrels of different lengths on Israeli IMI Galil family weapons,Photograph/illustration of the item described in the caption.
88,Image,Image 3.23,Image3.23_ExamplesOfMuzzleAttachments.png,Examples of muzzle attachments,Photograph/illustration of the item described in the caption.
90,Box,Box 3.3,Box3.3_MythsAndMisconceptionsSilencers.png,Myths and misconceptions: ‘silencers’,"Boxed sidebar containing focused explanatory text, definitions, or a case example described in the caption."
